        28.687509,28.687509,28.687509,28.687509,
        28.935628,28.935628,28.935628,28.935628,
        28.862881,28.862881,28.862881,28.862881,
        27.929026,27.929026,27.929026,27.929026,
        26.751270,26.751270,26.751270,26.751270,
        25.132383,25.132383,25.132383,25.132383,
        23.816296,23.816296,23.816296,23.816296,
        23.082976,23.082976,23.082976,23.082976,
        22.126906,22.126906,22.126906,22.126906,
        21.192580,21.192580,21.192580,21.192580,
        19.895892,19.895892,19.895892,19.895892,
        19.656542,19.656542,19.656542,19.656542,
        19.309957,19.309957,19.309957,19.309957,
        19.196275,19.196275,19.196275,19.196275,
        18.924238,18.924238,18.924238,18.924238,
        18.641661,18.641661,18.641661,18.641661,
        18.389037,18.389037,18.389037,18.389037,
        18.059670,18.059670,18.059670,18.059670,
        17.808009,17.808009,17.808009,17.808009,
        17.454269,17.454269,17.454269,17.454269,
        16.658887,16.658887,16.658887,16.658887,
        15.977303,15.977303,15.977303,15.977303,
        15.697758,15.697758,15.697758,15.697758,
        15.060761,15.060761,15.060761,15.060761,
        14.896161,14.896161,14.896161,14.896161,
        14.778761,14.778761,14.778761,14.778761,
        14.602151,14.602151,14.602151,14.602151,
        14.419689,14.419689,14.419689,14.419689,
        14.213075,14.213075,14.213075,14.213075,
        14.133052,14.133052,14.133052,14.133052,
        13.955415,13.955415,13.955415,13.955415,
        13.497712,13.497712,13.497712,13.497712,
        13.441021,13.441021,13.441021,13.441021,
        13.368302,13.368302,13.368302,13.368302,
        12.899835,12.899835,12.899835,12.899835,
        12.680457,12.680457,12.680457,12.680457,
        12.607261,12.607261,12.607261,12.607261,
        12.452048,12.452048,12.452048,12.452048,
        12.388470,12.388470,12.388470,12.388470,
        12.231093,12.231093,12.231093,12.231093,
        12.023445,12.023445,12.023445,12.023445,
        11.839699,11.839699,11.839699,11.839699,
        11.366123,11.366123,11.366123,11.366123,
        11.224807,11.224807,11.224807,11.224807,
        11.042090,11.042090,11.042090,11.042090,
        10.847365,10.847365,10.847365,10.847365,
        10.605097,10.605097,10.605097,10.605097,
        10.471456,10.471456,10.471456,10.471456,
        10.297125,10.297125,10.297125,10.297125,
        10.093774,10.093774,10.093774,10.093774,
